FECHA_INI_EX,FECHA_FIN_EX,COD_MEN,AREA_ICFES
1980-05-01,1999-12-31,20697,ciencias naturales
1980-05-01,1999-12-31,20697,lenguaje
1980-05-01,1999-12-31,20697,matematica
2000-01-01,2004-12-24,20697,biologia
2000-01-01,2004-12-24,20697,fisica
2000-01-01,2004-12-24,20697,matematica
2000-01-01,2004-12-24,20697,quimica
2005-01-01,2005-12-30,20697,biologia
2005-01-01,2005-12-30,20697,fisica
2005-01-01,2005-12-30,20697,matematica
2005-01-01,2005-12-30,20697,quimica
2006-01-01,2008-12-30,20697,biologia
2006-01-01,2008-12-30,20697,fisica
2006-01-01,2008-12-30,20697,matematica
2006-01-01,2008-12-30,20697,quimica
2009-01-01,2010-09-11,20697,biologia
2009-01-01,2010-09-11,20697,fisica
2009-01-01,2010-09-11,20697,matematica
2009-01-01,2010-09-11,20697,quimica
2010-09-12,2014-07-31,20697,biologia
2010-09-12,2014-07-31,20697,fisica
2010-09-12,2014-07-31,20697,matematica
2010-09-12,2014-07-31,20697,quimica
2014-08-01,2016-06-30,20697,cienc.soc.y ciudadan
2014-08-01,2016-06-30,20697,ciencias naturales
2014-08-01,2016-06-30,20697,ingles
2014-08-01,2016-06-30,20697,lectura critica
2014-08-01,2016-06-30,20697,matematicas
2016-07-01,2019-12-31,20697,ciencias naturales
2016-07-01,2019-12-31,20697,ingles
2016-07-01,2019-12-31,20697,lectura critica
2016-07-01,2019-12-31,20697,matematicas
1980-05-01,1999-12-31,20699,ciencias naturales
1980-05-01,1999-12-31,20699,matematica
2000-01-01,2004-12-24,20699,fisica
2000-01-01,2004-12-24,20699,matematica
2000-01-01,2004-12-24,20699,quimica
2005-01-01,2005-12-30,20699,fisica
2005-01-01,2005-12-30,20699,matematica
2005-01-01,2005-12-30,20699,quimica
2006-01-01,2008-12-30,20699,fisica
2006-01-01,2008-12-30,20699,matematica
2006-01-01,2008-12-30,20699,quimica
2009-01-01,2010-09-11,20699,fisica
2009-01-01,2010-09-11,20699,matematica
2009-01-01,2010-09-11,20699,quimica
