COD_MEN,FACULTAD,NOMBRE_PROGRAMA,ACREDITADO,SEDE,COD_MAT,NUM_CREDITOS,INTRODUCCION
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11330,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11329,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11334,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11335,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11336,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11338,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11340,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11342,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11344,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11347,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11348,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11349,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11350,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11351,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11352,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11355,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11356,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11357,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11358,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11359,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11360,4,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11361,8,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11362,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11363,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11365,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11366,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11367,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11368,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11369,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11370,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11371,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11372,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11373,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11374,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11375,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11376,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11301,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11302,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11303,2,si
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11305,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11306,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11307,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11308,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11310,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11311,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11313,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11314,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11316,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11317,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11318,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11319,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11321,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11322,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11325,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11326,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11327,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas,n.a.,sede tunja,11332,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11801,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11802,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11803,2,si
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11819,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11821,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11822,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11825,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11826,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11827,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11829,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11830,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11832,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11834,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11835,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11836,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11838,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11840,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11842,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11844,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11847,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11848,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11849,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11850,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11851,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11852,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11855,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11856,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11857,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11858,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11859,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11860,4,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11861,8,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11862,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11863,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11865,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11866,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11867,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11868,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11869,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11870,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11871,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11872,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11873,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11874,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11875,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11876,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11805,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11806,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11807,1,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11808,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11810,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11811,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11813,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11814,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11816,3,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11817,2,no
20708,facultad de ciencias administrativas y contables,administracion de empresas - sogamoso,n.a.,sede sogamoso,11818,1,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11105,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11103,2,si
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11110,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11111,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11113,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11114,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11116,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11117,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11121,1,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11122,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11125,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11126,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11127,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11129,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11130,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11132,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11134,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11135,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11136,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11138,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11140,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11142,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11144,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11147,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11148,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11149,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11150,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11151,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11152,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11155,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11156,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11157,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11158,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11159,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11160,4,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11161,8,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11162,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11163,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11165,1,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11166,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11167,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11168,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11169,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11170,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11171,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11172,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11173,3,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11174,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11175,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11176,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11101,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11102,2,no
109370,facultad de ciencias administrativas y contables,administracion de empresas - virtual,n.a.,sede tunja,11108,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11701,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11702,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11703,2,si
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11704,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11705,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11706,1,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11707,1,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11708,1,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11709,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11710,4,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11711,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11712,1,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11713,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11717,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11718,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11719,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11720,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11721,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11722,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11723,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11724,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11725,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11726,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11727,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11728,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11729,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11730,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11733,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11735,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11736,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11737,4,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11738,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11739,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11742,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11743,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11744,4,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11745,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11746,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11747,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11748,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11749,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11750,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11751,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11752,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11754,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11755,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11756,1,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11757,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11759,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11760,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11763,4,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11764,3,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11766,1,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11767,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11768,8,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11769,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11771,2,no
20739,facultad de ciencias administrativas y contables,administracion de negocios internacionales,riev,sede tunja,11772,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11662,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11663,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11663,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11601,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11602,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11603,2,si
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11604,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11605,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11606,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11607,1,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11608,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11609,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11610,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11664,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11665,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11665,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11611,4,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11612,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11613,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11613,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11614,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11615,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11616,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11617,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11618,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11618,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11619,4,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11620,1,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11621,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11622,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11623,1,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11624,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11625,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11626,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11626,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11627,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11627,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11628,4,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11629,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11630,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11631,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11632,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11633,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11634,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11635,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11636,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11637,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11638,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11638,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11639,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11640,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11641,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11642,1,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11643,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11644,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11645,2,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11645,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11646,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11647,3,no
20723,facultad de ciencias administrativas y contables,administracion financiera y de sistemas,n.a.,sede tunja,11648,3,no
